_id,AREA_NAME,HOOD_ID,ASSAULT_2025,ASSAULT_RATE_2025,AUTOTHEFT_2025,AUTOTHEFT_RATE_2025,BREAKENTER_2025,BREAKENTER_RATE_2025,HOMICIDE_2025,HOMICIDE_RATE_2025,ROBBERY_2025,ROBBERY_RATE_2025,SHOOTING_2025,SHOOTING_RATE_2025,THEFTFROMMV_2025,THEFTFROMMV_RATE_2025,THEFTOVER_2025,THEFTOVER_RATE_2025,POPULATION_2025
77,Rockcliffe-Smythe,111,179,742.676940917969,38,157.663269042969,32,132.769058227539,0,0.0,18,74.6826019287109,4,16.59613310098747,54,224.047790527344,9,37.3413009643555,24102
78,Keelesdale-Eglinton West,110,53,418.310974121094,24,189.423843383789,14,110.49723815918,0,0.0,9,71.033935546875,3,23.677979479084453,30,236.779800415039,3,23.6779804229736,12670
79,Palmerston-Little Italy,80,92,654.617919921875,16,113.846588134766,36,256.154846191406,0,0.0,16,113.846588134766,1,7.115411982353779,20,142.308242797852,4,28.4616470336914,14054
80,University,79,143,1740.50634765625,15,182.570587158203,60,730.282348632813,1,12.171372930866601,11,133.885101318359,0,0.0,29,352.969818115234,10,121.713729858398,8216
81,Kensington-Chinatown,78,460,2017.45532226563,27,118.415855407715,101,442.963012695313,0,0.0,44,192.973999023438,5,21.928862769176792,194,850.839904785156,50,219.288635253906,22801
82,North St.James Town,74,300,1281.61315917969,20,85.4408721923828,36,153.793579101563,0,0.0,18,76.8967895507813,1,4.272043745727957,32,136.70539855957,9,38.4483947753906,23408
83,Moss Park,73,655,2226.75512695313,24,81.5910263061523,103,350.161468505859,1,3.399626041135475,49,166.581680297852,1,3.399626041135475,81,275.369720458984,19,64.5928955078125,29415
84,Regent Park,72,159,947.839050292969,16,95.3800277709961,28,166.915054321289,0,0.0,14,83.4575271606445,1,5.961251862891207,21,125.18628692627,2,11.9225034713745,16775
85,Cabbagetown-South St.James Town,71,141,1078.55883789063,12,91.7922439575195,42,321.272857666016,0,0.0,19,145.33772277832,0,0.0,30,229.480606079102,3,22.9480609893799,13073
86,South Riverdale,70,263,828.737976074219,69,217.425552368164,84,264.691986083984,0,0.0,22,69.324089050293,1,3.1510950055144162,111,349.771545410156,28,88.2306594848633,31735
87,Blake-Jones,69,54,658.938354492188,12,146.430755615234,8,97.6204986572266,0,0.0,4,48.8102493286133,1,12.202562538133009,3,36.6076889038086,4,48.8102493286133,8195
88,North Riverdale,68,81,662.902038574219,13,106.39168548584,36,294.623138427734,2,16.36795155086341,10,81.8397598266602,1,8.183975775431705,33,270.071197509766,3,24.5519275665283,12219
89,Playter Estates-Danforth,67,118,1400.26110839844,21,249.199005126953,20,237.332382202148,0,0.0,5,59.3330955505371,1,11.866619200189866,60,711.997131347656,3,35.5998573303223,8427
90,Danforth,66,160,1561.73742675781,27,263.543182373047,19,185.456314086914,1,9.760858955588091,7,68.3260116577148,0,0.0,32,312.347473144531,1,9.7608585357666,10245
91,Greenwood-Coxwell,65,104,671.140930175781,23,148.425399780273,21,135.518844604492,1,6.453278265358803,9,58.0795059204102,1,6.453278265358803,36,232.318023681641,4,25.8131122589111,15496
92,Woodbine Corridor,64,100,728.756713867188,9,65.5881042480469,17,123.888648986816,0,0.0,3,21.8627014160156,0,0.0,18,131.176208496094,6,43.7254028320313,13722
93,The Beaches,63,125,525.563415527344,39,163.975784301758,36,151.362258911133,0,0.0,6,25.2270431518555,0,0.0,58,243.861419677734,12,50.4540863037109,23784
94,East End-Danforth,62,200,796.241760253906,37,147.304718017578,49,195.079223632813,0,0.0,13,51.7557144165039,1,3.98120869495979,49,195.079223632813,10,39.8120880126953,25118
95,Taylor-Massey,61,131,788.72900390625,32,192.666625976563,24,144.499969482422,0,0.0,13,78.2708206176758,0,0.0,35,210.729125976563,4,24.0833282470703,16609
96,Woodbine-Lumsden,60,58,672.463745117188,15,173.913040161133,6,69.5652160644531,1,11.594202898550725,2,23.1884059906006,1,11.594202898550725,21,243.478256225586,4,46.3768119812012,8625
97,Danforth East York,59,80,434.546447753906,34,184.682235717773,16,86.9092864990234,0,0.0,2,10.8636608123779,2,10.863661053775122,44,239.000549316406,4,21.7273216247559,18410
98,Old East York,58,66,655.281982421875,24,238.28434753418,10,99.2851486206055,0,0.0,6,59.5710868835449,1,9.928514694201747,27,268.069885253906,5,49.6425743103027,10072
99,Runnymede-Bloor West Village,89,61,549.995483398438,34,306.554870605469,12,108.195831298828,0,0.0,9,81.1468734741211,0,0.0,22,198.359024047852,6,54.0979156494141,11091
100,High Park North,88,173,677.92626953125,19,74.4543304443359,34,133.23405456543,1,3.918648849876562,11,43.1051368713379,1,3.918648849876562,39,152.827301025391,7,27.4305419921875,25519
101,High Park-Swansea,87,120,465.784271240234,23,89.2753143310547,59,229.010589599609,0,0.0,12,46.578426361084,2,7.763071070915654,33,128.090667724609,6,23.289213180542,25763
102,Roncesvalles,86,156,939.47607421875,17,102.378799438477,42,252.93586730957,0,0.0,11,66.2451095581055,0,0.0,25,150.557067871094,1,6.02228260040283,16605
103,South Parkdale,85,299,1140.30737304688,19,72.4610061645508,63,240.265441894531,1,3.8137370809656383,18,68.6472702026367,2,7.627474161931277,54,205.941802978516,12,45.7648468017578,26221
104,Little Portugal,84,133,726.895141601563,22,120.238288879395,33,180.357437133789,0,0.0,6,32.7922592163086,2,10.930753675465924,35,191.288192749023,9,49.1883926391602,18297
105,Dufferin Grove,83,154,1224.45739746094,14,111.314300537109,34,270.334747314453,0,0.0,14,111.314300537109,0,0.0,35,278.285766601563,11,87.4612350463867,12577
